topic_id,df,label
наколи,2,наколи
мамкин,2,мамкин
нитке,2,нитке
сидур,2,сидур
кашеровать,2,кашеровать
сиськи,2,сиськи
разматывать,2,разматывать
никаму,2,никаму
манго,2,манго
кашрут,2,кашрут
разгоняешь,2,разгоняешь
ситилинке,2,ситилинке
модельной,2,модельной
ман,2,ман
задумавался,2,задумавался
сельская,2,сельская
ссыкло,2,ссыкло
модерн,2,модерн
ковида,2,ковида
мема,2,мема
никакие,2,никакие
мемологию,2,мемологию
клуба,2,клуба
моет,2,моет
наклонился,2,наклонился
качели,2,качели
комбо,2,комбо
залетело,2,залетело
расписанию,2,расписанию
прочел,2,прочел
залетит,2,залетит
може,2,може
заливает,2,заливает
мемчиков,2,мемчиков
мацу,2,мацу
качаться,2,качаться
процессы,2,процессы
заливать,2,заливать
клубе,2,клубе
клубы,2,клубы
залетел,2,залетел
разговоров,2,разговоров
моему,2,моему
разогнал,2,разогнал
справиться,2,справиться
залезть,2,залезть
ковырял,2,ковырял
простое,2,простое
сиюм,2,сиюм
ссылке,2,ссылке
справился,2,справился
разговорный,2,разговорный
миллион,2,миллион
прочитать,2,прочитать
напиздел,2,напиздел
середине,2,середине
маца,2,маца
нарвался,2,нарвался
мастэр,2,мастэр
мюзик,2,мюзик
наслаждаюсь,2,наслаждаюсь
историк,2,историк
совета,2,совета
сборы,2,сборы
музыки,2,музыки
работ,2,работ
кошерного,2,кошерного
истинный,2,истинный
кошерный,2,кошерный
истинно,2,истинно
неинтересно,2,неинтересно
кошкой,2,кошкой
словно,2,словно
ладе,2,ладе
лагерь,2,лагерь
истекает,2,истекает
начались,2,начались
собянин,2,собянин
раби,2,раби
исследование,2,исследование
рабби,2,рабби
лавке,2,лавке
лаваш,2,лаваш
лааадно,2,лааадно
крапива,2,крапива
продолжает,2,продолжает
лайкнул,2,лайкнул
рабочая,2,рабочая
словах,2,словах
слил,2,слил
прокрастинирую,2,прокрастинирую
слипнот,2,слипнот
кофемолка,2,кофемолка
лайф,2,лайф
кофием,2,кофием
играм,2,играм
играми,2,играми
исуса,2,исуса
кофий,2,кофий
работаете,2,работаете
сбросил,2,сбросил
словами,2,словами
играют,2,играют
источника,2,источника
кохава,2,кохава
лайтово,2,лайтово
кохфэ,2,кохфэ
сбрасывай,2,сбрасывай
советуешь,2,советуешь
совету,2,совету
исторические,2,исторические
игрок,2,игрок
рош-ходеш,2,рош-ходеш
продолжения,2,продолжения
идиш,2,идиш
продолжу,2,продолжу
сары,2,сары
рубасов,2,рубасов
рубашка,2,рубашка
соблюдать,2,соблюдать
сложных,2,сложных
незаконное,2,незаконное
муравей,2,муравей
сломал,2,сломал
кусок,2,кусок
сломалась,2,сломалась
рубился,2,рубился
муратов,2,муратов
курьером,2,курьером
соблюдаешь,2,соблюдаешь
куры,2,куры
извинился,2,извинился
сломался,2,сломался
собираются,2,собираются
собирают,2,собирают
собираюся,2,собираюся
красной,2,красной
курсов,2,курсов
рубли,2,рубли
сасай,2,сасай
кухонный,2,кухонный
соблюдаю,2,соблюдаю
мультики,2,мультики
исролику,2,исролику
продукт,2,продукт
сахара,2,сахара
сложится,2,сложится
красивл,2,красивл
сложна,2,сложна
кфц,2,кфц
саус,2,саус
испугался,2,испугался
кушоть,2,кушоть
начальника,2,начальника
куча,2,куча
исправлять,2,исправлять
мультиплай,2,мультиплай
сатурации,2,сатурации
пускай,2,пускай
собрались,2,собрались
кушац,2,кушац
кушаешь,2,кушаешь
избавится,2,избавится
кушает,2,кушает
красить,2,красить
национальность,2,национальность
пролежал,2,пролежал
лайфстайл,2,лайфстайл
костюме,2,костюме
некому,2,некому
зрелищные,2,зрелищные
рождении,2,рождении
свежих,2,свежих
лежишь,2,лежишь
нахождения,2,нахождения
косо,2,косо
следствие,2,следствие
свежим,2,свежим
июле,2,июле
лежат,2,лежат
лежа,2,лежа
содержать,2,содержать
муви,2,муви
зумеры,2,зумеры
пугать,2,пугать
согрешил,2,согрешил
мувсет,2,мувсет
муд,2,муд
мудак,2,мудак
легли,2,легли
легкий,2,легкий
пугают,2,пугают
косенко,2,косенко
муахахаха,2,муахахаха
косаря,2,косаря
кортизол,2,кортизол
йобоны,2,йобоны
мрачнее,2,мрачнее
родными,2,родными
мрачный,2,мрачный
создавать,2,создавать
работяги,2,работяги
йобнутые,2,йобнутые
зона,2,зона
слегка,2,слегка
слегла,2,слегла
созвон,2,созвон
рождается,2,рождается
лекарство,2,лекарство
зоны,2,зоны
корточках,2,корточках
созависимость,2,созависимость
зотов,2,зотов
рожают,2,рожают
надеется,2,надеется
находятся,2,находятся
лезет,2,лезет
косарей,2,косарей
легкие,2,легкие
зюбенко,2,зюбенко
лакомка,2,лакомка
рой,2,рой
котлеты,2,котлеты
современное,2,современное
иван,2,иван
нейросетки,2,нейросетки
ластуху,2,ластуху
продается,2,продается
совпало,2,совпало
романтика,2,романтика
нейросетка,2,нейросетка
следующие,2,следующие
нахуярился,2,нахуярился
которому,2,которому
лапшу,2,лапшу
которым,2,которым
совок,2,совок
лампа,2,лампа
слепой,2,слепой
мужчины,2,мужчины
российские,2,российские
нейронка,2,нейронка
свалил,2,свалил
муза,2,муза
музее,2,музее
современном,2,современном
нагулялся,2,нагулялся
ибрашка,2,ибрашка
косяков,2,косяков
зяме,2,зяме
свежая,2,свежая
леггинсы,2,леггинсы
надавить,2,надавить
продавщица,2,продавщица
левый,2,левый
левой,2,левой
левенбрау,2,левенбрау
левая,2,левая
лев,2,лев
лебедеву,2,лебедеву
котики,2,котики
следущий,2,следущий
мужа,2,мужа
лбом,2,лбом
котенок,2,котенок
нейросетку,2,нейросетку
современных,2,современных
мужика,2,мужика
современный,2,современный
мужиков,2,мужиков
современные,2,современные
слон,2,слон
путай,2,путай
красоте,2,красоте
смуту,2,смуту
негр,2,негр
проибався,2,проибався
рыцари,2,рыцари
нашими,2,нашими
инагент,2,инагент
пьем,2,пьем
нашла,2,нашла
крылышек,2,крылышек
рэга,2,рэга
нашу,2,нашу
проиграл,2,проиграл
пройдёт,2,пройдёт
мышек,2,мышек
инглиш,2,инглиш
смены,2,смены
криптонит,2,криптонит
пройду,2,пройду
инди,2,инди
сальтуху,2,сальтуху
пхахаха,2,пхахаха
критично,2,критично
рюкзак,2,рюкзак
салатик,2,салатик
набивать,2,набивать
прокат,2,прокат
пушка,2,пушка
смарт,2,смарт
пьяница,2,пьяница
ими,2,ими
кресле,2,кресле
пухловатые,2,пухловатые
рыбки,2,рыбки
самокате,2,самокате
смари,2,смари
кряхтения,2,кряхтения
импакт,2,импакт
рыбу,2,рыбу
снегу,2,снегу
рынке,2,рынке
инфляция,2,инфляция
снегопад,2,снегопад
прозрачный,2,прозрачный
инфаркт,2,инфаркт
рывок,2,рывок
самоката,2,самоката
крышей,2,крышей
рыжим,2,рыжим
крышам,2,крышам
крысы,2,крысы
пцр,2,пцр
индус,2,индус
смайлик,2,смайлик
индустрии,2,индустрии
кружки,2,кружки
кровостока,2,кровостока
произойдет,2,произойдет
сайтов,2,сайтов
интерактивный,2,интерактивный
кроет,2,кроет
смешного,2,смешного
интенсив,2,интенсив
сайд,2,сайд
круглые,2,круглые
сабзиро,2,сабзиро
сажусь,2,сажусь
мягче,2,мягче
сажать,2,сажать
кругами,2,кругами
мэр,2,мэр
инструментом,2,инструментом
мягонько,2,мягонько
мягкие,2,мягкие
садится,2,садится
пыль,2,пыль
смирение,2,смирение
нев,2,нев
сайты,2,сайты
инстаграмме,2,инстаграмме
невеста,2,невеста
мышцами,2,мышцами
смертью,2,смертью
не-а,2,не-а
интересу,2,интересу
крутое,2,крутое
неадекват,2,неадекват
мясом,2,мясом
смотрь,2,смотрь
пытались,2,пытались
интересных,2,интересных
пыталась,2,пыталась
иностранный,2,иностранный
интереса,2,интереса
проитоновый,2,проитоновый
крут,2,крут
интересна,2,интересна
смотрели,2,смотрели
пшеницу,2,пшеницу
инсайд,2,инсайд
сакура,2,сакура
кружочки,2,кружочки
кружочек,2,кружочек
невесты,2,невесты
имеют,2,имеют
руьлев,2,руьлев
рублях,2,рублях
снотворное,2,снотворное
изначально,2,изначально
слухал,2,слухал
пятерочку,2,пятерочку
креативность,2,креативность
изнутри,2,изнутри
рукой,2,рукой
случаем,2,случаем
сан,2,сан
купыв,2,купыв
крейвен,2,крейвен
прокидайся,2,прокидайся
самым,2,самым
проектики,2,проектики
искра,2,искра
муха,2,муха
случился,2,случился
пятерочка,2,пятерочка
искашрус,2,искашрус
недорого,2,недорого
руны,2,руны
искали,2,искали
проектов,2,проектов
рупол,2,рупол
саней,2,саней
руках,2,руках
собак,2,собак
слоями,2,слоями
проебут,2,проебут
издеваюсь,2,издеваюсь
изер,2,изер
использовали,2,использовали
проебываю,2,проебываю
собирает,2,собирает
мусор,2,мусор
слоты,2,слоты
собеседования,2,собеседования
слоям,2,слоям
проезжала,2,проезжала
мутация,2,мутация
курицей,2,курицей
начинает,2,начинает
испанский,2,испанский
неевреем,2,неевреем
изменился,2,изменился
курил,2,курил
мутации,2,мутации
санта,2,санта
собаку,2,собаку
собаки,2,собаки
изрядно,2,изрядно
мухахах,2,мухахах
кресла,2,кресла
кремлебот,2,кремлебот
кулич,2,кулич
крепкая,2,крепкая
иллюстратора,2,иллюстратора
путинская,2,путинская
слушают,2,слушают
ирина,2,ирина
русскую,2,русскую
русы,2,русы
крепкого,2,крепкого
слышать,2,слышать
имбирного,2,имбирного
имбирный,2,имбирный
имеем,2,имеем
кудой,2,кудой
креплах,2,креплах
крепчак,2,крепчак
рутина,2,рутина
ручек,2,ручек
снежок,2,снежок
прокачался,2,прокачался
инцестов,2,инцестов
прокатит,2,прокатит
инфу,2,инфу
сникерс,2,сникерс
наблюдаешь,2,наблюдаешь
илиты,2,илиты
недовольная,2,недовольная
изучать,2,изучать
проекту,2,проекту
слушает,2,слушает
русгеймтактикс,2,русгеймтактикс
купец,2,купец
проехали,2,проехали
купе,2,купе
руси,2,руси
пэсня,2,пэсня
снимут,2,снимут
исаком,2,исаком
культура,2,культура
пэс,2,пэс
самураи,2,самураи
саму,2,саму
снилось,2,снилось
культурную,2,культурную
наблюдал,2,наблюдал
культурно,2,культурно
недельной,2,недельной
илита,2,илита
наблюдай,2,наблюдай
йобоный,2,йобоный
корпус,2,корпус
специфический,2,специфический
заточен,2,заточен
скорость,2,скорость
настра,2,настра
контора,2,контора
контору,2,контору
монотонно,2,монотонно
камнелома,2,камнелома
соулслайк,2,соулслайк
нерв,2,нерв
настроением,2,настроением
пробный,2,пробный
затянуть,2,затянуть
пробовать,2,пробовать
смирись,2,смирись
пробуешь,2,пробуешь
лору,2,лору
захватил,2,захватил
сгула,2,сгула
захватывает,2,захватывает
провайдера,2,провайдера
настроил,2,настроил
рестик,2,рестик
провал,2,провал
камера,2,камера
сохнут,2,сохнут
скором,2,скором
золотая,2,золотая
сдаться,2,сдаться
монголы,2,монголы
засыпал,2,засыпал
соц,2,соц
скорей,2,скорей
сохраняю,2,сохраняю
лукашенко,2,лукашенко
контакт,2,контакт
рендеры,2,рендеры
называемый,2,называемый
луи,2,луи
затейник,2,затейник
луганске,2,луганске
контакты,2,контакты
затем,2,затем
сохранить,2,сохранить
моник,2,моник
проблемами,2,проблемами
прямоугольник,2,прямоугольник
разбиратся,2,разбиратся
разбирали,2,разбирали
сохранил,2,сохранил
затирал,2,затирал
сохранения,2,сохранения
контролировать,2,контролировать
контроль,2,контроль
настройка,2,настройка
лопата,2,лопата
зачастил,2,зачастил
рецензии,2,рецензии
ложишься,2,ложишься
псд,2,псд
конфуций,2,конфуций
нажимать,2,нажимать
радуйтесь,2,радуйтесь
ложился,2,ложился
рецепторы,2,рецепторы
святость,2,святость
логотипы,2,логотипы
логотипе,2,логотипе
какому,2,какому
каком-то,2,каком-то
концепцию,2,концепцию
концерт,2,концерт
мортал,2,мортал
решает,2,решает
свят,2,свят
логин,2,логин
соскуфился,2,соскуфился
какой-нибудь,2,какой-нибудь
логики,2,логики
ложь,2,ложь
составил,2,составил
лозунг,2,лозунг
скрывает,2,скрывает
морбиус,2,морбиус
разбежались,2,разбежались
мордор,2,мордор
ломка,2,ломка
сгоняй,2,сгоняй
сосу,2,сосу
скрины,2,скрины
захочешь,2,захочешь
ломать,2,ломать
кальмара,2,кальмара
скрываешь,2,скрываешь
локально,2,локально
состоянии,2,состоянии
рады,2,рады
скульптор,2,скульптор
состою,2,состою
непривычки,2,непривычки
конфликты,2,конфликты
составляю,2,составляю
составлю,2,составлю
локации,2,локации
калдырь,2,калдырь
засыпаешь,2,засыпаешь
сделав,2,сделав
застудил,2,застудил
называть,2,называть
молчим,2,молчим
прэтэжэ,2,прэтэжэ
скинули,2,скинули
льет,2,льет
религиозной,2,религиозной
конкурсы,2,конкурсы
спаси,2,спаси
прямая,2,прямая
заработал,2,заработал
называют,2,называют
заработался,2,заработался
скка,2,скка
капитана,2,капитана
капитан,2,капитан
львы,2,львы
спасают,2,спасают
религиозным,2,религиозным
нести,2,нести
спас,2,спас
молчу,2,молчу
называю,2,называю
капец,2,капец
львица,2,львица
религиозная,2,религиозная
насрал,2,насрал
просила,2,просила
запускать,2,запускать
нетт,2,нетт
специфика,2,специфика
капучино,2,капучино
любую,2,любую
нетании,2,нетании
любое,2,любое
рекламой,2,рекламой
насмерть,2,насмерть
запускаешь,2,запускаешь
запускай,2,запускай
сдулся,2,сдулся
молчание,2,молчание
конем,2,конем
любителя,2,любителя
рекомендую,2,рекомендую
любите,2,любите
запустить,2,запустить
рекорд,2,рекорд
пришлешь,2,пришлешь
скильки,2,скильки
молча,2,молча
любимое,2,любимое
религиозных,2,религиозных
неспособные,2,неспособные
конструктор,2,конструктор
спальне,2,спальне
каникулы,2,каникулы
канешна,2,канешна
называешь,2,называешь
монгол,2,монгол
разбор,2,разбор
сделает,2,сделает
сделаем,2,сделаем
приятного,2,приятного
заслужил,2,заслужил
заснул,2,заснул
сочи,2,сочи
сочетание,2,сочетание
зассал,2,зассал
заставила,2,заставила
сочах,2,сочах
кандидат,2,кандидат
социум,2,социум
луком,2,луком
заставляет,2,заставляет
социальный,2,социальный
социальные,2,социальные
социальная,2,социальная
социалку,2,социалку
нескольких,2,нескольких
разбудили,2,разбудили
луну,2,луну
лучшем,2,лучшем
капает,2,капает
спали,2,спали
лыжи,2,лыжи
консерватор,2,консерватор
приюта,2,приюта
канье,2,канье
приятная,2,приятная
лучших,2,лучших
прорыв,2,прорыв
пророчество,2,пророчество
ремастер,2,ремастер
ремонтом,2,ремонтом
спад,2,спад
спагетти,2,спагетти
соя,2,соя
зас,2,зас
константа,2,константа
несли,2,несли
сою,2,сою
сконцентрироваться,2,сконцентрироваться
называли,2,называли
моментов,2,моментов
непосредственно,2,непосредственно
решай,2,решай
зашкаливает,2,зашкаливает
коробочке,2,коробочке
научи,2,научи
знакомиться,2,знакомиться
слабаков,2,слабаков
знакомств,2,знакомств
немешь,2,немешь
надрачиваю,2,надрачиваю
мотора,2,мотора
сокольники,2,сокольники
слабая,2,слабая
птздос,2,птздос
немешом,2,немешом
корня,2,корня
лечишься,2,лечишься
светские,2,светские
знаменитый,2,знаменитый
моушн,2,моушн
коробит,2,коробит
лечит,2,лечит
светская,2,светская
светофоре,2,светофоре
коробки,2,коробки
моча,2,моча
лечение,2,лечение
знаком,2,знаком
немногу,2,немногу
соку,2,соку
немношк,2,немношк
науке,2,науке
солидно,2,солидно
злиться,2,злиться
скучновато,2,скучновато
злодей,2,злодей
свидание,2,свидание
соли,2,соли
рисовки,2,рисовки
соленья,2,соленья
змея,2,змея
солевую,2,солевую
сола,2,сола
казани,2,казани
кормом,2,кормом
рисуешь,2,рисуешь
программа,2,программа
птздец,2,птздец
либертарианец,2,либертарианец
солдат,2,солдат
знак,2,знак
кормят,2,кормят
мотивирует,2,мотивирует
сознания,2,сознания
значения,2,значения
солнечно,2,солнечно
слабое,2,слабое
короткой,2,короткой
светит,2,светит
немец,2,немец
нах,2,нах
славянское,2,славянское
надеятся,2,надеятся
сладкая,2,сладкая
родаки,2,родаки
лепре,2,лепре
сладкий,2,сладкий
йосе,2,йосе
создания,2,создания
родилась,2,родилась
промолчал,2,промолчал
находится,2,находится
корочи,2,корочи
йогурт,2,йогурт
йогу,2,йогу
нелегко,2,нелегко
мрази,2,мрази
свете,2,свете
корпоратив,2,корпоратив
создали,2,создали
кабан,2,кабан
славянин,2,славянин
лестниц,2,лестниц
летняя,2,летняя
кадры,2,кадры
наушниках,2,наушниках
светотени,2,светотени
робот,2,робот
коровавирус,2,коровавирус
созидание,2,созидание
кавабанга,2,кавабанга
мошенники,2,мошенники
каблук,2,каблук
программирование,2,программирование
летние,2,летние
славы,2,славы
летнему,2,летнему
летит,2,летит
летать,2,летать
ровные,2,ровные
пту,2,пту
лесу,2,лесу
кабинет,2,кабинет
кабель,2,кабель
мощь,2,мощь
светлее,2,светлее
наебали,2,наебали
солнечные,2,солнечные
скуфа,2,скуфа
свободный,2,свободный
лишнего,2,лишнего
скуфоватого,2,скуфоватого
скуфом,2,скуфом
какава,2,какава
скуфская,2,скуфская
наебщик,2,наебщик
звуком,2,звуком
личные,2,личные
звучало,2,звучало
личности,2,личности
личное,2,личное
личная,2,личная
неплох,2,неплох
копейки,2,копейки
непло,2,непло
копирайт,2,копирайт
неохотой,2,неохотой
копирка,2,копирка
неопределенность,2,неопределенность
наебнулся,2,наебнулся
копирку,2,копирку
сообщество,2,сообщество
здоровая,2,здоровая
лишние,2,лишние
звонишь,2,звонишь
звонить,2,звонить
непонимаю,2,непонимаю
связях,2,связях
какоето,2,какоето
ловлю,2,ловлю
защита,2,защита
концовку,2,концовку
защитника,2,защитника
концу,2,концу
связками,2,связками
какова,2,какова
каклы,2,каклы
связаны,2,связаны
какают,2,какают
радостно,2,радостно
звал,2,звал
звали,2,звали
какието,2,какието
наемник,2,наемник
связан,2,связан
решениях,2,решениях
зверополис,2,зверополис
кончился,2,кончился
решит,2,решит
наебнул,2,наебнул
литрами,2,литрами
свидетельство,2,свидетельство
свободное,2,свободное
прописали,2,прописали
скуфья,2,скуфья
лимит,2,лимит
проги,2,проги
натуральные,2,натуральные
лизатель,2,лизатель
зеркале,2,зеркале
свинья,2,свинья
казахстанский,2,казахстанский
наебался,2,наебался
зеркально,2,зеркально
рисованию,2,рисованию
лигу,2,лигу
раввины,2,раввины
мотивации,2,мотивации
мотивация,2,мотивация
ливень,2,ливень
прогнозы,2,прогнозы
рисоваю,2,рисоваю
зильберга,2,зильберга
зимние,2,зимние
коридор,2,коридор
зиро,2,зиро
лимон,2,лимон
рисовай,2,рисовай
солодниковым,2,солодниковым
римская,2,римская
здоровый,2,здоровый
кайфовал,2,кайфовал
психология,2,психология
психологом,2,психологом
здох,2,здох
здохнешь,2,здохнешь
свобода,2,свобода
здравствуйте,2,здравствуйте
московская,2,московская
соморозвитие,2,соморозвитие
свитка,2,свитка
коренной,2,коренной
мост,2,мост
проводишь,2,проводишь
риски,2,риски
нео,2,нео
кайфавать,2,кайфавать
кайфа,2,кайфа
корел,2,корел
рисовав,2,рисовав
скуффский,2,скуффский
зелёного,2,зелёного
сотрудники,2,сотрудники
мечтаю,2,мечтаю
передачу,2,передачу
шароебов,2,шароебов
острые,2,острые
потребности,2,потребности
переработки,2,переработки
гиркин,2,гиркин
анорексия,2,анорексия
версии,2,версии
убивал,2,убивал
перерисовать,2,перерисовать
вертит,2,вертит
понимании,2,понимании
шас,2,шас
убийца,2,убийца
ценой,2,ценой
гибридный,2,гибридный
потолка,2,потолка
гитару,2,гитару
гитлер,2,гитлер
гитлера,2,гитлера
битва,2,битва
вернулись,2,вернулись
гладко,2,гладко
тянуть,2,тянуть
анимацию,2,анимацию
анимация,2,анимация
анимировать,2,анимировать
главного,2,главного
гитлеру,2,гитлеру
главе,2,главе
понимаем,2,понимаем
островах,2,островах
пингвина,2,пингвина
пингвин,2,пингвин
потребность,2,потребность
вертушки,2,вертушки
гершон,2,гершон
глазами,2,глазами
героями,2,героями
отвел,2,отвел
генерация,2,генерация
весе,2,весе
фурри,2,фурри
поздравления,2,поздравления
гендера,2,гендера
уважаю,2,уважаю
потею,2,потею
понос,2,понос
уведомления,2,уведомления
потеть,2,потеть
шапки,2,шапки
увеличить,2,увеличить
шапиро,2,шапиро
геймплей,2,геймплей
гениальная,2,гениальная
весах,2,весах
гениальную,2,гениальную
футболке,2,футболке
верх,2,верх
папочку,2,папочку
герои,2,герои
отбоялся,2,отбоялся
потоке,2,потоке
гергель,2,гергель
убрался,2,убрался
гениальный,2,гениальный
понимая,2,понимая
поздравил,2,поздравил
убрано,2,убрано
геншин,2,геншин
верят,2,верят
гении,2,гении
останутся,2,останутся
тянул,2,тянул
гейминге,2,гейминге
гнев,2,гнев
благодарен,2,благодарен
шеврон,2,шеврон
оставляют,2,оставляют
гог,2,гог
говядины,2,говядины
говядина,2,говядина
говорящие,2,говорящие
говорим,2,говорим
говорила,2,говорила
говорбю,2,говорбю
пирог,2,пирог
цемента,2,цемента
тэкс,2,тэкс
понесется,2,понесется
гнетет,2,гнетет
годовщину,2,годовщину
годом,2,годом
голактеки,2,голактеки
головные,2,головные
шепалах,2,шепалах
париж,2,париж
понел,2,понел
шель,2,шель
поугарали,2,поугарали
поза,2,поза
головного,2,головного
анатомии,2,анатомии
шелд,2,шелд
перепрочел,2,перепрочел
пирожочки,2,пирожочки
позавтракал,2,позавтракал
тырнет,2,тырнет
тырнетах,2,тырнетах
понесло,2,понесло
бихманом,2,бихманом
глазах,2,глазах
тюра,2,тюра
глубине,2,глубине
пирамида,2,пирамида
шая,2,шая
глобально,2,глобально
тяжёлая,2,тяжёлая
андрюхи,2,андрюхи
параллели,2,параллели
вернул,2,вернул
биту,2,биту
позвони,2,позвони
остановке,2,остановке
глазу,2,глазу
шахрис,2,шахрис
ха-ха,2,ха-ха
цене,2,цене
поттер,2,поттер
бить,2,бить
тяжелее,2,тяжелее
пират,2,пират
шваль,2,шваль
гмах,2,гмах
андерграунд,2,андерграунд
глянешь,2,глянешь
тюрьму,2,тюрьму
верна,2,верна
швабру,2,швабру
тяжелая,2,тяжелая
параллельный,2,параллельный
потупить,2,потупить
останется,2,останется
глупый,2,глупый
глупость,2,глупость
позволить,2,позволить
ответственности,2,ответственности
геймерская,2,геймерская
дачный,2,дачный
выучить,2,выучить
уде,2,уде
поступает,2,поступает
уджос,2,уджос
фрустрации,2,фрустрации
пиздить,2,пиздить
удивило,2,удивило
архитектор,2,архитектор
фрукты,2,фрукты
построили,2,построили
выходили,2,выходили
выходила,2,выходила
удивление,2,удивление
полетели,2,полетели
ветерок,2,ветерок
отдыхает,2,отдыхает
удачки,2,удачки
поиграться,2,поиграться
чёрного,2,чёрного
шабатек,2,шабатек
шабатить,2,шабатить
удаленку,2,удаленку
отдельная,2,отдельная
удаляешь,2,удаляешь
вьебываю,2,вьебываю
арт-хаус,2,арт-хаус
шабатам,2,шабатам
удачи,2,удачи
поступок,2,поступок
артикуляционные,2,артикуляционные
ударил,2,ударил
ударили,2,ударили
отдохнешь,2,отдохнешь
артстейшн,2,артстейшн
выхах,2,выхах
пончики,2,пончики
армстронг,2,армстронг
чье,2,чье
ветру,2,ветру
панель,2,панель
цже,2,цже
вечерами,2,вечерами
атаки,2,атаки
атаку,2,атаку
выставок,2,выставок
выставку,2,выставку
уебать,2,уебать
вечерком,2,вечерком
атакуют,2,атакуют
поняла,2,поняла
уебывать,2,уебывать
постоянная,2,постоянная
высота,2,высота
уебался,2,уебался
ветра,2,ветра
выстрелил,2,выстрелил
чуька,2,чуька
вытяжку,2,вытяжку
асе,2,асе
отдыхается,2,отдыхается
удовлетворил,2,удовлетворил
вытащить,2,вытащить
отдыхаэ,2,отдыхаэ
паника,2,паника
выступают,2,выступают
удоленке,2,удоленке
пиздил,2,пиздил
отдыхе,2,отдыхе
постоянный,2,постоянный
аспергер,2,аспергер
ассоциация,2,ассоциация
поиграв,2,поиграв
армия,2,армия
панятно,2,панятно
цепляется,2,цепляется
уволят,2,уволят
увы,2,увы
отвлекли,2,отвлекли
угадаешь,2,угадаешь
угадай,2,угадай
гараж,2,гараж
отвлечься,2,отвлечься
цепи,2,цепи
весил,2,весил
аппарат,2,аппарат
панч,2,панч
аппетита,2,аппетита
весишь,2,весишь
угк,2,угк
гамай,2,гамай
потереть,2,потереть
пизлец,2,пизлец
шамана,2,шамана
пик-пик,2,пик-пик
анчартед,2,анчартед
гедонист,2,гедонист
центре,2,центре
увидимся,2,увидимся
веселые,2,веселые
увидит,2,увидит
веселый,2,веселый
потеря,2,потеря
гвоздях,2,гвоздях
перерыв,2,перерыв
увлекся,2,увлекся
увлечение,2,увлечение
гатовь,2,гатовь
уволилась,2,уволилась
гамаешь,2,гамаешь
гам,2,гам
шабату,2,шабату
весов,2,весов
гадать,2,гадать
пиздюка,2,пиздюка
отдам,2,отдам
шавухе,2,шавухе
шавуот,2,шавуот
позу,2,позу
шавуа,2,шавуа
шабс,2,шабс
панк,2,панк
удав,2,удав
удалась,2,удалась
шабашку,2,шабашку
пиздц,2,пиздц
вялое,2,вялое
церквушке,2,церквушке
шавуху,2,шавуху
гадости,2,гадости
гадюку,2,гадюку
фукин,2,фукин
билд,2,билд
отговаривали,2,отговаривали
отговорки,2,отговорки
веспер,2,веспер
полетят,2,полетят
гайки,2,гайки
весть,2,весть
шавы,2,шавы
уговорил,2,уговорил
шаги,2,шаги
пересадил,2,пересадил
шаг,2,шаг
угодно,2,угодно
арбайтен,2,арбайтен
аналитический,2,аналитический
шепот,2,шепот
тхину,2,тхину
трейлеры,2,трейлеры
алан,2,алан
гуглю,2,гуглю
тревожные,2,тревожные
блики,2,блики
губы,2,губы
губу,2,губу
тревожусь,2,тревожусь
оправдание,2,оправдание
шланги,2,шланги
пиццы,2,пиццы
хало,2,хало
трезвости,2,трезвости
пицца,2,пицца
алга,2,алга
пошёл,2,пошёл
цвяточки,2,цвяточки
алази,2,алази
тревожно,2,тревожно
шлихут,2,шлихут
пища,2,пища
активно,2,активно
гусь,2,гусь
тревоге,2,тревоге
тревоги,2,тревоги
шло,2,шло
пою,2,пою
пароль,2,пароль
актуально,2,актуально
тревожится,2,тревожится
гуляй,2,гуляй
акцентом,2,акцентом
акцию,2,акцию
тревожиться,2,тревожиться
грязные,2,грязные
грязно,2,грязно
требования,2,требования
грязи,2,грязи
паровозик,2,паровозик
грунина,2,грунина
тренера,2,тренера
грузчиком,2,грузчиком
парня,2,парня
тренеры,2,тренеры
трени,2,трени
тренил,2,тренил
грузит,2,грузит
пошлет,2,пошлет
тренировался,2,тренировался
питере,2,питере
пожелал,2,пожелал
груди,2,груди
трется,2,трется
груниным,2,груниным
определяет,2,определяет
питсу,2,питсу
пошутить,2,пошутить
трек,2,трек
пожалеешь,2,пожалеешь
определение,2,определение
пихают,2,пихают
питушки,2,питушки
определенно,2,определенно
алена,2,алена
трендами,2,трендами
грусть,2,грусть
грустновато,2,грустновато
грустная,2,грустная
шкафы,2,шкафы
пошлют,2,пошлют
определить,2,определить
требует,2,требует
оплатой,2,оплатой
голой,2,голой
пояснить,2,пояснить
ппц,2,ппц
акиры,2,акиры
вейпа,2,вейпа
опасные,2,опасные
поездки,2,поездки
плавно,2,плавно
помыться,2,помыться
веке,2,веке
попиздим,2,попиздим
поясницу,2,поясницу
поясница,2,поясница
шмаль,2,шмаль
далли,2,далли
опенвпн,2,опенвпн
далее,2,далее
дама,2,дама
ооочень,2,ооочень
плаг,2,плаг
оооой,2,оооой
дачах,2,дачах
айзик,2,айзик
дату,2,дату
планетарий,2,планетарий
хануку,2,хануку
датасет,2,датасет
планах,2,планах
акиву,2,акиву
дата,2,дата
ханукальный,2,ханукальный
оооооо,2,оооооо
права,2,права
даренский,2,даренский
дар,2,дар
хамец,2,хамец
оперативки,2,оперативки
