topic_id,df,label
нахуя,36,нахуя
прямо,36,прямо
обидно,36,обидно
мама,36,мама
слышал,35,слышал
встал,35,встал
брать,35,брать
месяца,35,месяца
дальше,35,дальше
свои,35,свои
мир,35,мир
ней,35,ней
русский,35,русский
хватает,35,хватает
более,35,более
короч,35,короч
оказывается,35,оказывается
молодец,34,молодец
марина,34,марина
момент,34,момент
одно,34,одно
таких,34,таких
час,34,час
пытаюсь,34,пытаюсь
всеравно,34,всеравно
тобой,34,тобой
своей,34,своей
жена,34,жена
денег,34,денег
готов,34,готов
впринципе,34,впринципе
наверно,34,наверно
идея,33,идея
хуево,33,хуево
поспал,33,поспал
написать,33,написать
происходит,33,происходит
скорее,33,скорее
чат,33,чат
неделю,32,неделю
равно,32,равно
лежу,32,лежу
пью,32,пью
кем,32,кем
такую,32,такую
посмотри,32,посмотри
хочет,32,хочет
нихуясе,32,нихуясе
фильм,32,фильм
читал,32,читал
отпуск,32,отпуск
комп,31,комп
какого,31,какого
друг,31,друг
www,31,www
походу,31,походу
хаим,31,хаим
пора,31,пора
нужна,31,нужна
ебаный,31,ебаный
нее,30,нее
против,30,против
играть,30,играть
непонятно,30,непонятно
пацаны,30,пацаны
телефон,30,телефон
этих,30,этих
стало,30,стало
сходить,30,сходить
последнее,30,последнее
скоро,30,скоро
пытался,30,пытался
покажи,30,покажи
всю,30,всю
два,30,два
одной,29,одной
никогда,29,никогда
пивко,29,пивко
сюжет,29,сюжет
помнишь,29,помнишь
тому,29,тому
жалко,29,жалко
будут,29,будут
рисовать,29,рисовать
прекрасно,29,прекрасно
курсе,29,курсе
процесс,29,процесс
ваши,29,ваши
вечером,29,вечером
смотришь,29,смотришь
пишет,29,пишет
играю,29,играю
над,28,над
свою,28,свою
выпил,28,выпил
скажешь,28,скажешь
немеш,28,немеш
хошь,28,хошь
мысли,28,мысли
шучу,28,шучу
мозг,28,мозг
рядом,28,рядом
пива,28,пива
смешно,27,смешно
выходные,27,выходные
поставил,27,поставил
страшно,27,страшно
вещи,27,вещи
мои,27,мои
опа,27,опа
десигнер,27,десигнер
свое,27,свое
сходил,27,сходил
ебаные,27,ебаные
проще,27,проще
поздно,27,поздно
быстро,27,быстро
вам,27,вам
кофе,27,кофе
погода,27,погода
особенно,27,особенно
писал,27,писал
одного,27,одного
считаю,26,считаю
мое,26,мое
поеду,26,поеду
москве,26,москве
должен,26,должен
посмотрю,26,посмотрю
кухне,26,кухне
ицик,26,ицик
председательница,26,председательница
перед,26,перед
тож,26,тож
пойдешь,26,пойдешь
покаж,26,покаж
заебал,26,заебал
история,26,история
хороший,26,хороший
недели,26,недели
температура,26,температура
ибо,26,ибо
второй,25,второй
принципе,25,принципе
рано,25,рано
называется,25,называется
человека,25,человека
погоди,25,погоди
голова,25,голова
болит,25,болит
нехуй,25,нехуй
недавно,25,недавно
работал,25,работал
напиши,25,напиши
магазин,25,магазин
говно,25,говно
дней,25,дней
каком,25,каком
блеск,25,блеск
сезон,25,сезон
синагогу,24,синагогу
семья,24,семья
хожу,24,хожу
никак,24,никак
отправил,24,отправил
честно,24,честно
пришли,24,пришли
таки,24,таки
возможно,24,возможно
синагоге,24,синагоге
вся,24,вся
магаз,24,магаз
ебанутые,24,ебанутые
заебало,24,заебало
цвет,24,цвет
сидеть,24,сидеть
времени,24,времени
чувака,24,чувака
рил,24,рил
пить,23,пить
дзержинск,23,дзержинск
сил,23,сил
охуенный,23,охуенный
спокойно,23,спокойно
ответил,23,ответил
ощущение,23,ощущение
разные,23,разные
обязательно,23,обязательно
чото,23,чото
таким,23,таким
проблема,23,проблема
жив,23,жив
важно,23,важно
календарь,23,календарь
должны,23,должны
чорт,23,чорт
везде,23,везде
жоско,23,жоско
прислал,22,прислал
выходной,22,выходной
закончил,22,закончил
занят,22,занят
фото,22,фото
поиграл,22,поиграл
работаешь,22,работаешь
уснул,22,уснул
бабки,22,бабки
ебу,22,ебу
общался,22,общался
скинь,22,скинь
старый,22,старый
интервью,22,интервью
сказала,22,сказала
проект,22,проект
евреи,22,евреи
казахстан,22,казахстан
говорить,22,говорить
тора,21,тора
какое,21,какое
чтоли,21,чтоли
группу,21,группу
при,21,при
спит,21,спит
одну,21,одну
